institution,pattern,email_domain,postcode
Bundeswehr Hospital Berlin,bundeswehrkrankenhaus,bundeswehr.org,10115
Charite Berlin,charit[e],charite.de,10117
Robert Koch Institute,robert koch,rki.de,13353
