title,issn_print,issn_electronic
Nature Medicine,1078-8956,1546-170X
Cell,0092-8674,1097-4172
PLoS ONE,,1932-6203
Journal of Clinical Oncology,0732-183X,1527-7755
Genome Biology,1465-6906,1474-760X
Bioinformatics,1367-4803,1460-2059
Cancer Research,0008-5472,1538-7445
Scientific Reports,,2045-2322
PNAS,0027-8424,1091-6490
BMC Genomics,,1471-2164
